Team,,Rec,,&Delta;,Rat,,Pwr,,Off,,Def,,HFA,SoS,,SSF,,EW,EL
TN Martin,OH Valley,"17-5",0.773,+4,183,6.83,248,26.86,306,86.38,168,17.95,2.80,348,23.26,346,23.18,5.00,3.00
Idaho,Big Sky,"13-9",0.591,+4,184,6.82,206,28.61,205,90.32,228,15.76,2.75,222,28.01,212,28.44,4.23,4.77
Jacksonville St,Conference USA,"11-10",0.524,+18,185,6.82,168,31.61,260,88.03,92,21.06,2.75,244,27.49,193,28.87,4.95,5.05
N Kentucky,Horizon,"14-9",0.609,-16,186,6.82,184,30.37,147,92.36,234,15.48,2.84,283,26.26,268,26.91,5.04,3.96
TAM C. Christi,Southland,"12-10",0.545,-11,187,6.82,182,30.51,272,87.52,105,20.46,2.78,230,27.73,235,27.64,5.41,3.59
Harvard,Ivy League,"12-9",0.571,+26,188,6.81,202,28.95,304,86.48,115,19.94,2.70,204,28.62,185,29.10,3.14,3.86
New Mexico St,Conference USA,"10-11",0.476,-46,189,6.80,165,31.74,239,89.16,111,20.05,2.90,191,28.89,159,29.94,4.31,4.69
S Dakota St,Summit Lg,"11-12",0.478,-5,190,6.80,152,32.18,143,92.48,183,17.17,2.91,199,28.69,227,28.06,5.51,2.49
Indiana St,Missouri Val,"9-14",0.391,-24,191,6.80,150,32.35,104,94.76,246,15.06,2.91,126,31.08,129,31.73,3.68,4.32
Merrimack,Metro Atlantic,"13-9",0.591,+9,192,6.80,237,27.24,342,83.95,99,20.76,2.65,190,28.99,236,27.61,5.43,3.57
Robert Morris,Horizon,"14-10",0.583,-3,193,6.79,196,29.20,197,90.48,215,16.20,2.77,257,27.11,239,27.55,3.53,3.47
Columbia,Ivy League,"14-7",0.667,+2,194,6.78,233,27.39,182,91.26,290,13.60,2.74,282,26.28,251,27.21,2.91,4.09
Penn,Ivy League,"10-10",0.500,-1,195,6.78,197,29.14,171,91.68,249,14.93,2.87,151,30.27,162,29.84,3.64,3.36
Utah Tech,Western Athletic,"13-11",0.542,+27,196,6.78,215,28.31,224,89.59,216,16.20,2.89,192,28.89,171,29.53,3.16,4.84
James Madison,Sun Belt,"11-12",0.478,+12,197,6.78,183,30.44,185,91.13,194,16.78,2.83,169,29.43,207,28.53,5.19,2.81
Quinnipiac,Metro Atlantic,"14-9",0.609,-16,198,6.77,211,28.51,183,91.24,255,14.74,2.75,264,26.96,294,25.76,5.59,2.41
Marist,Metro Atlantic,"14-7",0.667,-15,199,6.75,223,28.00,330,84.89,103,20.59,2.72,328,24.85,320,24.42,5.23,2.77
Iona,Metro Atlantic,"14-9",0.609,-11,200,6.75,219,28.17,241,88.98,200,16.66,2.85,268,26.80,290,25.99,5.17,2.83
Elon,Coastal,"13-10",0.565,-23,201,6.75,225,27.94,146,92.40,309,13.02,2.79,225,27.88,209,28.49,3.39,4.61
Buffalo,"Mid-American","14-8",0.636,-9,202,6.75,246,26.91,167,91.83,321,12.56,2.75,280,26.35,240,27.51,3.52,5.48
Tarleton St,Western Athletic,"11-11",0.500,-29,203,6.74,190,29.87,198,90.44,190,16.89,2.92,210,28.36,190,29.00,4.31,4.69
Siena,Metro Atlantic,"15-7",0.682,+16,204,6.74,242,27.02,302,86.51,167,17.99,2.78,316,25.11,303,25.29,4.87,4.13
Navy,Patriot League,"17-6",0.739,+25,205,6.73,236,27.25,318,85.67,142,19.05,2.70,354,22.10,349,22.56,4.91,3.09
Coastal Car,Sun Belt,"13-10",0.565,+16,206,6.73,261,26.11,298,86.68,189,16.91,2.92,197,28.77,208,28.51,3.96,5.04
Weber St,Big Sky,"11-11",0.500,-5,207,6.72,192,29.80,153,92.16,244,15.12,2.88,216,28.11,211,28.45,4.66,4.34
Vermont,America East,"14-9",0.609,-8,208,6.72,216,28.30,271,87.56,161,18.22,2.81,309,25.35,333,24.00,6.08,1.92
UTRGV,Southland,"11-11",0.500,+42,209,6.71,210,28.53,234,89.29,196,16.72,2.81,193,28.87,213,28.40,4.89,4.11
LIU Brooklyn,Northeast,"14-8",0.636,+8,210,6.71,283,25.01,287,87.12,239,15.36,2.87,234,27.71,313,24.82,6.58,2.42
Stony Brook,Coastal,"14-9",0.609,+35,211,6.70,268,25.75,299,86.66,203,16.56,2.88,269,26.78,247,27.32,3.20,4.80
Tennessee St,OH Valley,"14-7",0.667,+9,212,6.69,263,26.03,156,92.06,336,11.44,2.82,325,24.92,331,24.07,6.20,3.80
Campbell,Coastal,"10-13",0.435,-18,213,6.69,213,28.47,149,92.25,286,13.69,2.73,133,30.73,154,30.16,3.97,4.03
Samford,Southern,"10-12",0.455,+3,214,6.68,188,30.03,123,93.65,281,13.86,2.85,208,28.46,238,27.58,5.77,3.23
Portland,West Coast,"10-14",0.417,-10,215,6.68,231,27.59,163,91.92,305,13.14,2.86,119,31.64,116,32.41,2.07,4.93
Queens NC,Atlantic Sun,"12-11",0.522,-25,216,6.68,228,27.84,105,94.70,349,10.62,2.78,203,28.65,234,27.77,4.67,3.33
St Peter's,Metro Atlantic,"12-7",0.632,+10,217,6.68,249,26.85,332,84.81,133,19.52,2.75,308,25.38,299,25.43,4.89,4.11
San Diego,West Coast,"10-14",0.417,+17,218,6.67,222,28.07,158,92.01,293,13.53,2.87,128,30.98,126,31.82,2.11,4.89
San Jose St,Mountain West,"6-16",0.273,-8,219,6.67,193,29.52,219,89.65,177,17.34,2.82,85,34.86,89,35.65,2.31,6.69
Colgate,Patriot League,"13-10",0.565,-12,220,6.66,214,28.35,199,90.44,238,15.38,2.82,286,26.22,305,25.21,5.54,2.46
Drexel,Coastal,"12-11",0.522,+15,221,6.66,194,29.50,321,85.65,87,21.33,2.87,289,26.06,260,26.99,4.55,4.45
Fordham,Atlantic 10,"12-10",0.545,+26,222,6.66,195,29.38,262,87.85,146,19.00,2.74,322,24.96,231,27.88,2.93,6.07
Lamar,Southland,"11-11",0.500,-16,223,6.66,205,28.63,293,86.82,140,19.28,2.75,245,27.48,242,27.48,4.86,4.14
Rice,American Athletic,"9-13",0.409,-5,224,6.66,204,28.87,220,89.64,198,16.70,2.81,153,30.12,142,31.17,3.08,5.92
Florida Intl,Conference USA,"10-11",0.476,,225,6.66,220,28.09,138,92.67,313,12.90,2.88,207,28.46,165,29.75,3.59,6.41
La Salle,Atlantic 10,"7-15",0.318,+6,226,6.65,207,28.59,291,86.93,141,19.13,2.89,103,33.13,101,34.02,2.40,6.60
Idaho St,Big Sky,"10-12",0.455,-14,227,6.65,209,28.54,236,89.24,195,16.77,2.78,200,28.67,199,28.72,4.41,4.59
Ga Southern,Sun Belt,"14-10",0.583,-22,228,6.65,256,26.51,136,92.89,342,11.09,2.87,285,26.22,248,27.31,2.44,4.56
Princeton,Ivy League,"8-14",0.364,+4,229,6.65,187,30.04,258,88.11,136,19.40,2.78,139,30.54,152,30.24,3.69,3.31
WI Milwaukee,Horizon,"9-14",0.391,-4,230,6.65,208,28.57,180,91.28,254,14.76,2.85,127,31.05,160,29.90,4.52,3.48
Texas St,Sun Belt,"13-11",0.542,-2,231,6.64,226,27.93,253,88.30,184,17.11,2.79,293,26.00,285,26.27,3.63,3.37
Abilene Chr,Western Athletic,"10-11",0.476,-22,232,6.62,221,28.09,273,87.50,165,18.06,2.92,231,27.72,175,29.35,3.51,6.49
Monmouth NJ,Coastal,"11-12",0.478,+5,233,6.62,224,27.98,257,88.16,178,17.30,2.86,219,28.08,201,28.64,3.88,5.12
Nicholls St,Southland,"9-13",0.409,-30,234,6.62,212,28.49,200,90.42,233,15.54,2.79,158,29.91,167,29.62,4.38,4.62
New Orleans,Southland,"9-13",0.409,+23,235,6.61,280,25.08,184,91.19,337,11.37,2.88,104,33.00,128,31.75,3.42,5.58
WI Green Bay,Horizon,"12-11",0.522,-5,236,6.61,288,24.61,265,87.79,273,14.30,2.79,201,28.65,195,28.81,2.82,5.18
Southern Miss,Sun Belt,"12-12",0.500,-22,237,6.61,251,26.80,256,88.19,217,16.09,2.99,227,27.85,200,28.71,2.39,4.61
CS Fullerton,Big West,"10-13",0.435,+9,238,6.61,254,26.57,165,91.86,328,12.18,2.81,155,30.00,163,29.81,3.71,5.29
NE Omaha,Summit Lg,"12-12",0.500,+13,239,6.60,241,27.09,209,90.17,267,14.39,2.78,263,26.96,245,27.34,3.14,3.86
E Michigan,"Mid-American","9-13",0.409,-24,240,6.59,238,27.15,276,87.44,181,17.18,2.85,147,30.40,146,30.62,3.35,5.65
Youngstown St,Horizon,"11-12",0.478,-7,241,6.59,203,28.89,214,90.03,209,16.34,2.71,287,26.11,269,26.91,4.50,4.50
Dartmouth,Ivy League,"10-10",0.500,+2,242,6.59,245,26.96,210,90.15,274,14.29,2.87,242,27.53,217,28.19,2.80,4.20
Radford,Big South,"13-11",0.542,+10,243,6.57,230,27.73,168,91.81,301,13.39,2.70,329,24.82,304,25.22,3.74,3.26
FGCU,Atlantic Sun,"10-13",0.435,-1,244,6.57,218,28.18,213,90.05,231,15.61,2.83,217,28.09,265,26.92,5.21,2.79
Cent Arkansas,Atlantic Sun,"12-10",0.545,+20,245,6.57,274,25.41,238,89.20,287,13.69,2.97,260,27.05,272,26.77,3.85,4.15
UTEP,Conference USA,"8-14",0.364,-4,246,6.57,198,29.11,270,87.60,147,18.98,2.85,180,29.25,148,30.53,3.13,5.87
North Dakota,Summit Lg,"13-12",0.520,+23,247,6.57,260,26.31,193,90.86,312,12.92,2.83,272,26.70,261,26.96,3.15,3.85
"Loyola-Chicago",Atlantic 10,"5-18",0.217,-20,248,6.56,178,30.74,225,89.58,155,18.64,2.86,102,33.14,104,33.66,2.89,5.11
Chattanooga,Southern,"9-13",0.409,-25,249,6.55,185,30.33,174,91.49,210,16.32,2.70,273,26.67,283,26.35,5.79,3.21
Georgia St,Sun Belt,"9-14",0.391,+7,250,6.54,244,27.00,249,88.63,221,15.85,2.95,176,29.32,202,28.62,4.10,3.90
SE Missouri St,OH Valley,"13-10",0.565,+23,251,6.54,258,26.37,251,88.39,236,15.46,2.77,330,24.52,323,24.38,4.61,3.39
SIUE,OH Valley,"15-9",0.625,+3,252,6.54,259,26.33,339,84.31,134,19.50,2.75,356,22.04,351,22.26,4.88,3.12
UNC Asheville,Big South,"10-13",0.435,+7,253,6.53,229,27.73,244,88.93,213,16.28,2.85,258,27.11,276,26.66,4.10,2.90
American Univ,Patriot League,"13-10",0.565,-14,254,6.52,272,25.59,303,86.51,204,16.56,2.84,323,24.95,325,24.28,4.86,3.14
Cal Poly,Big West,"9-14",0.391,+1,255,6.51,264,25.93,106,94.69,357,8.72,2.76,154,30.08,147,30.58,3.22,6.78
UC Riverside,Big West,"8-15",0.348,-6,256,6.48,239,27.14,242,88.96,229,15.65,2.87,161,29.66,153,30.20,3.63,6.37
Old Dominion,Sun Belt,"7-16",0.304,+6,257,6.48,243,27.01,245,88.84,230,15.64,2.93,123,31.30,151,30.40,3.36,3.64
Fairfield,Metro Atlantic,"14-9",0.609,+13,258,6.47,290,24.30,280,87.40,269,14.37,2.70,347,23.37,332,24.00,3.60,4.40
Long Beach St,Big West,"8-15",0.348,-20,259,6.47,250,26.81,233,89.38,252,14.90,2.79,172,29.40,158,29.95,3.60,6.40
Denver,Summit Lg,"10-14",0.417,-15,260,6.46,269,25.74,122,93.71,353,9.51,2.83,211,28.36,210,28.46,2.80,4.20
Evansville,Missouri Val,"5-17",0.227,-7,261,6.46,247,26.86,307,86.23,164,18.11,3.02,96,33.52,103,33.80,2.13,5.87
Lindenwood,OH Valley,"14-9",0.609,+19,262,6.46,303,23.61,254,88.27,315,12.81,2.79,344,23.51,342,23.58,3.96,4.04
Southern Utah,Western Athletic,"8-15",0.348,+24,263,6.45,262,26.05,190,91.06,323,12.46,2.90,162,29.66,157,30.04,2.69,5.31
Cleveland St,Horizon,"8-14",0.364,+28,264,6.45,234,27.33,177,91.33,296,13.48,2.82,226,27.88,220,28.18,4.02,4.98
South Dakota,Summit Lg,"12-12",0.500,+4,265,6.44,279,25.19,107,94.49,359,8.17,3.01,306,25.45,292,25.86,3.03,3.97
East Carolina,American Athletic,"6-15",0.286,+16,266,6.44,227,27.88,248,88.65,197,16.70,2.85,141,30.49,135,31.48,3.60,7.40
E Washington,Big Sky,"5-17",0.227,-6,267,6.43,217,28.29,161,91.98,283,13.79,2.84,111,32.41,140,31.36,4.33,4.67
W Carolina,Southern,"8-12",0.400,+23,268,6.43,287,24.76,208,90.23,330,12.00,2.89,187,29.06,216,28.30,3.95,5.05
CS Sacramento,Big Sky,"8-13",0.381,+19,269,6.43,284,24.93,230,89.43,310,12.97,2.88,183,29.21,177,29.27,3.21,5.79
Detroit,Horizon,"9-12",0.429,-2,270,6.43,289,24.50,222,89.61,326,12.36,2.97,224,27.89,214,28.35,2.73,5.27
Longwood,Big South,"12-12",0.500,+5,271,6.43,255,26.56,243,88.93,245,15.10,2.85,343,23.68,329,24.15,3.69,3.31
Presbyterian,Big South,"11-13",0.458,-8,272,6.42,282,25.02,311,86.19,212,16.31,2.77,292,26.00,284,26.35,2.92,4.08
Morehead St,OH Valley,"12-11",0.522,,273,6.42,285,24.84,281,87.39,251,14.92,2.82,332,24.46,327,24.25,4.31,3.69
Hampton,Coastal,"10-13",0.435,+9,274,6.40,281,25.05,333,84.80,173,17.72,2.86,279,26.42,262,26.95,3.13,4.87
UMBC,America East,"13-8",0.619,+29,275,6.40,304,23.58,255,88.24,314,12.82,2.73,355,22.08,353,21.92,4.53,3.47
Pepperdine,West Coast,"6-17",0.261,-10,276,6.40,232,27.56,235,89.24,226,15.80,2.89,130,30.79,123,31.88,2.19,5.81
"Bethune-Cookman",Southwestern AC,"10-11",0.476,+30,277,6.40,307,23.30,277,87.44,302,13.34,2.86,233,27.72,296,25.69,5.58,4.42
Northeastern,Coastal,"6-15",0.286,-29,278,6.39,240,27.09,173,91.52,307,13.05,2.86,156,29.99,164,29.78,3.44,4.56
Jacksonville,Atlantic Sun,"9-14",0.391,+5,279,6.38,277,25.24,335,84.78,169,17.94,2.92,252,27.28,277,26.63,4.12,3.88
Incarnate Word,Southland,"9-13",0.409,-43,280,6.38,271,25.61,237,89.20,279,13.88,2.79,281,26.32,254,27.14,3.49,5.51
C Michigan,"Mid-American","7-15",0.318,+15,281,6.37,266,25.79,264,87.79,235,15.47,2.86,177,29.31,173,29.44,3.37,5.63
SE Louisiana,Southland,"6-16",0.273,+3,282,6.37,257,26.51,327,85.18,152,18.80,2.78,149,30.37,176,29.31,4.41,4.59
W Michigan,"Mid-American","8-13",0.381,-8,283,6.37,276,25.29,229,89.49,304,13.28,2.79,232,27.72,191,29.00,2.98,7.02
Delaware,Conference USA,"6-15",0.286,+13,284,6.35,253,26.63,285,87.16,188,16.95,2.72,178,29.26,150,30.50,2.90,7.10
Grambling,Southwestern AC,"9-10",0.474,+9,285,6.35,309,23.16,338,84.36,214,16.27,2.66,302,25.61,338,23.82,6.36,4.64
Central Conn,Northeast,"11-10",0.524,-45,286,6.35,296,24.01,301,86.54,247,14.95,2.70,346,23.42,356,21.79,5.68,2.32
E Kentucky,Atlantic Sun,"7-16",0.304,-28,287,6.35,235,27.27,137,92.67,329,12.07,2.93,221,28.01,244,27.41,4.40,3.60
Bellarmine,Atlantic Sun,"9-13",0.409,+14,288,6.34,292,24.13,196,90.61,343,10.99,2.83,253,27.22,257,27.08,3.33,4.67
Charleston So,Big South,"11-12",0.478,-17,289,6.34,293,24.13,191,90.89,348,10.71,2.78,333,24.44,314,24.81,4.04,4.96
Northern Arizona,Big Sky,"8-15",0.348,+5,290,6.34,273,25.48,263,87.84,243,15.12,2.83,249,27.37,225,28.11,2.75,5.25
Southern Univ,Southwestern AC,"8-13",0.381,-29,291,6.34,270,25.64,223,89.60,294,13.51,2.95,271,26.75,326,24.27,7.59,3.41
Howard,"Mid-Eastern AC","13-9",0.591,-6,292,6.34,308,23.28,275,87.45,303,13.30,2.83,360,21.63,362,20.78,5.80,3.20
Louisiana,Sun Belt,"7-16",0.304,+7,293,6.33,286,24.81,349,82.64,130,19.64,2.87,163,29.65,166,29.72,2.38,4.62
Ark Little Rock,OH Valley,"9-13",0.409,-27,294,6.33,295,24.04,292,86.87,261,14.64,2.87,276,26.53,302,25.29,4.57,3.43
Mt St Mary's,Metro Atlantic,"9-14",0.391,-2,295,6.33,291,24.21,326,85.32,208,16.36,2.74,254,27.21,288,26.12,4.30,3.70
UNC Greensboro,Southern,"8-15",0.348,-17,296,6.32,267,25.77,232,89.42,282,13.82,2.80,259,27.07,249,27.29,3.43,4.57
Ball St,"Mid-American","7-14",0.333,+9,297,6.32,265,25.81,324,85.40,172,17.88,2.90,251,27.30,233,27.77,4.05,5.95
North Alabama,Atlantic Sun,"7-13",0.350,-9,298,6.32,275,25.30,261,87.96,253,14.82,2.89,246,27.47,263,26.94,3.92,4.08
Northwestern LA,Southland,"6-15",0.286,-19,299,6.31,278,25.20,282,87.24,237,15.43,2.79,166,29.58,188,29.03,3.75,5.25
Sacred Heart,Metro Atlantic,"10-13",0.435,+17,300,6.31,300,23.86,203,90.39,345,10.95,2.75,300,25.62,301,25.39,3.77,4.23
East Texas A&M,Southland,"8-14",0.364,-3,301,6.31,310,23.11,320,85.66,250,14.93,2.82,209,28.42,223,28.16,3.30,5.70
CS Bakersfield,Big West,"8-15",0.348,-24,302,6.30,299,23.86,269,87.67,288,13.67,2.95,223,27.90,205,28.58,2.72,6.28
SC Upstate,Big South,"10-13",0.435,-13,303,6.29,301,23.82,278,87.43,280,13.87,2.80,312,25.21,295,25.75,3.10,4.90
NC A&T,Coastal,"9-12",0.429,+8,304,6.28,312,22.94,266,87.78,320,12.64,2.82,301,25.61,266,26.92,2.15,5.85
Brown,Ivy League,"7-13",0.350,-28,305,6.28,252,26.70,317,86.00,162,18.18,2.76,311,25.25,264,26.93,2.40,4.60
N Illinois,"Mid-American","7-14",0.333,-3,306,6.28,305,23.50,289,86.97,278,14.01,2.78,205,28.50,182,29.18,2.51,6.49
Houston Chr,Southland,"8-14",0.364,+8,307,6.21,316,22.22,325,85.36,270,14.34,2.81,265,26.91,237,27.61,2.54,6.46
Norfolk St,"Mid-Eastern AC","10-14",0.417,-9,308,6.20,297,23.99,279,87.41,277,14.06,2.81,351,23.10,358,21.66,5.13,1.87
Lehigh,Patriot League,"10-13",0.435,+17,309,6.18,319,22.02,315,86.09,300,13.40,2.69,336,24.16,330,24.14,3.45,4.55
Le Moyne,Northeast,"11-12",0.478,+8,310,6.18,337,20.24,284,87.20,350,10.52,2.81,335,24.34,347,23.07,4.20,3.80
Alabama A&M,Southwestern AC,"12-9",0.571,+18,311,6.17,342,19.76,345,83.82,299,13.42,2.98,361,21.42,361,21.22,4.61,5.39
MA Lowell,America East,"9-14",0.391,-7,312,6.17,302,23.69,227,89.51,333,11.66,2.89,338,24.11,344,23.44,4.57,3.43
NJIT,America East,"11-12",0.478,+22,313,6.17,355,18.03,348,83.23,327,12.27,2.74,297,25.74,315,24.78,2.93,5.07
Stetson,Atlantic Sun,"8-15",0.348,+8,314,6.16,321,21.57,288,87.07,331,11.97,2.89,262,26.97,273,26.73,2.84,5.16
West Georgia,Atlantic Sun,"10-12",0.455,-5,315,6.16,345,19.53,290,86.96,351,10.04,2.75,313,25.14,298,25.54,2.25,5.75
UT San Antonio,American Athletic,"4-17",0.190,-3,316,6.15,294,24.07,259,88.04,295,13.50,2.95,136,30.65,121,31.93,1.68,7.32
E Illinois,OH Valley,"9-14",0.391,-6,317,6.15,322,21.50,358,81.69,179,17.28,2.76,321,25.05,316,24.78,3.35,4.65
Bucknell,Patriot League,"7-16",0.304,-10,318,6.15,314,22.54,308,86.22,285,13.79,2.79,237,27.69,275,26.67,4.00,5.00
Bryant,America East,"7-15",0.318,-18,319,6.14,298,23.87,314,86.11,241,15.23,2.96,299,25.69,318,24.54,4.63,3.37
Boston Univ,Patriot League,"8-15",0.348,-6,320,6.14,313,22.64,286,87.15,311,12.96,2.74,305,25.46,317,24.59,4.14,3.86
Mercyhurst,Northeast,"12-12",0.500,+9,321,6.14,329,20.91,360,80.74,174,17.64,2.98,358,21.86,355,21.82,3.78,4.22
Manhattan,Metro Atlantic,"9-14",0.391,+1,322,6.13,323,21.40,215,90.02,355,8.85,2.75,319,25.06,307,25.05,3.05,4.95
Jackson St,Southwestern AC,"6-15",0.286,-4,323,6.12,334,20.48,300,86.62,339,11.33,2.83,145,30.45,287,26.16,5.67,4.33
Florida A&M,Southwestern AC,"8-11",0.421,-8,324,6.10,340,20.10,343,83.94,289,13.63,2.84,324,24.93,336,23.91,3.62,4.38
New Hampshire,America East,"8-13",0.381,+19,325,6.09,330,20.86,323,85.59,316,12.75,2.91,314,25.13,328,24.24,3.73,4.27
Oral Roberts,Summit Lg,"5-19",0.208,-17,326,6.09,306,23.39,268,87.76,306,13.11,2.88,198,28.74,224,28.16,2.88,4.12
Lafayette,Patriot League,"7-16",0.304,+7,327,6.08,317,22.12,329,85.05,264,14.55,2.69,284,26.25,309,24.98,4.60,4.40
Army,Patriot League,"10-13",0.435,+8,328,6.08,341,19.77,313,86.14,341,11.11,2.76,349,23.21,343,23.46,2.87,5.13
Air Force,Mountain West,"3-18",0.143,-5,329,6.07,311,22.99,352,82.54,170,17.92,2.88,110,32.54,94,34.73,0.91,9.09
Holy Cross,Patriot League,"8-15",0.348,-9,330,6.05,346,19.48,353,82.33,262,14.63,2.76,298,25.73,312,24.84,3.23,4.77
Canisius,Metro Atlantic,"8-14",0.364,-3,331,6.03,348,19.24,355,82.01,258,14.70,2.92,310,25.27,300,25.42,2.62,6.38
Tennessee Tech,OH Valley,"8-14",0.364,-1,332,6.03,325,21.17,309,86.21,325,12.44,2.87,345,23.46,337,23.87,3.84,6.16
Alabama St,Southwestern AC,"6-15",0.286,-13,333,6.02,326,21.14,312,86.17,324,12.44,2.69,255,27.14,306,25.13,4.58,4.42
Alcorn St,Southwestern AC,"4-16",0.200,+4,334,6.01,344,19.63,337,84.43,318,12.67,2.85,114,32.13,278,26.57,5.70,4.30
SUNY Albany,America East,"7-16",0.304,-10,335,6.01,324,21.22,319,85.66,308,13.03,2.77,326,24.91,324,24.33,3.64,4.36
TX Southern,Southwestern AC,"6-14",0.300,+4,336,6.00,320,21.75,267,87.76,335,11.46,2.78,315,25.12,335,23.93,3.78,3.22
Ark Pine Bluff,Southwestern AC,"8-13",0.381,+2,337,5.99,357,17.83,252,88.39,363,6.92,2.83,295,25.82,334,23.94,4.19,5.81
Stonehill,Northeast,"9-14",0.391,+9,338,5.99,349,19.11,359,80.79,225,15.80,2.78,350,23.20,350,22.34,3.80,4.20
NC Central,"Mid-Eastern AC","7-12",0.368,-2,339,5.98,339,20.13,294,86.81,347,10.79,2.90,342,23.84,352,22.05,5.01,3.99
MD E Shore,"Mid-Eastern AC","8-14",0.364,-8,340,5.96,356,17.91,361,80.45,248,14.93,2.81,304,25.49,341,23.60,3.79,4.21
Citadel,Southern,"8-15",0.348,+14,341,5.96,347,19.31,341,84.07,317,12.71,2.85,337,24.15,291,25.90,1.27,6.73
Prairie View,Southwestern AC,"10-13",0.435,-15,342,5.96,343,19.74,250,88.45,356,8.76,2.81,363,20.85,363,20.57,4.42,4.58
Loyola MD,Patriot League,"8-15",0.348,+3,343,5.96,333,20.50,305,86.46,334,11.52,2.77,352,22.95,348,22.91,3.41,4.59
North Florida,Atlantic Sun,"5-18",0.217,+1,344,5.95,315,22.35,95,95.30,365,4.53,2.99,266,26.89,274,26.71,2.99,5.01
IUPUI,Horizon,"6-18",0.250,+4,345,5.94,335,20.26,155,92.08,364,5.65,2.79,278,26.46,259,27.00,1.39,4.61
Missouri KC,Summit Lg,"4-18",0.182,-13,346,5.93,318,22.02,328,85.10,266,14.40,2.90,239,27.62,230,27.93,2.35,5.65
F Dickinson,Northeast,"7-15",0.318,+4,347,5.90,332,20.79,334,84.79,297,13.48,2.74,353,22.62,357,21.68,4.45,3.55
Maine,America East,"5-18",0.217,,348,5.89,331,20.84,362,79.89,157,18.42,2.79,294,25.97,310,24.98,3.61,4.39
New Haven,Northeast,"10-12",0.455,+5,349,5.87,363,15.08,364,78.08,265,14.48,2.77,357,21.86,354,21.87,2.32,5.68
Wagner,Northeast,"6-13",0.316,-9,350,5.86,328,20.92,351,82.57,223,15.82,2.78,359,21.82,359,21.54,4.47,4.53
Niagara,Metro Atlantic,"5-16",0.238,-9,351,5.86,338,20.20,356,81.83,222,15.84,2.83,320,25.05,311,24.98,3.15,5.85
Morgan St,"Mid-Eastern AC","9-13",0.409,+8,352,5.84,360,17.05,274,87.48,362,7.04,2.93,362,21.18,365,20.25,3.41,3.59
St Francis PA,Northeast,"6-15",0.286,,353,5.82,351,18.52,336,84.66,338,11.34,2.90,334,24.36,340,23.79,3.33,5.67
Southern Indiana,OH Valley,"5-17",0.227,-4,354,5.80,336,20.25,346,83.52,276,14.20,2.81,341,23.98,321,24.41,2.63,5.37
VMI,Southern,"6-17",0.261,-12,355,5.80,352,18.34,331,84.87,344,10.95,2.91,339,24.11,297,25.57,1.34,6.66
S Carolina St,"Mid-Eastern AC","5-16",0.238,+1,356,5.73,358,17.58,340,84.18,346,10.88,2.86,327,24.89,345,23.38,3.47,4.53
Rider,Metro Atlantic,"2-18",0.100,-5,357,5.71,327,21.01,344,83.84,260,14.65,2.76,229,27.75,267,26.91,3.33,5.67
W Illinois,OH Valley,"4-19",0.174,-2,358,5.63,354,18.04,354,82.04,298,13.47,2.85,340,23.99,339,23.82,2.66,5.34
ULM,Sun Belt,"3-19",0.136,-1,359,5.62,350,18.65,296,86.69,354,9.43,2.97,296,25.77,253,27.16,1.71,8.29
Chicago St,Northeast,"3-19",0.136,-1,360,5.62,359,17.58,347,83.36,332,11.70,2.89,236,27.70,293,25.76,3.39,5.61
Gardner Webb,Big South,"3-20",0.130,,361,5.62,353,18.29,310,86.20,352,9.56,2.85,277,26.48,255,27.13,1.77,7.23
Delaware St,"Mid-Eastern AC","6-15",0.286,,362,5.57,362,15.76,363,79.69,291,13.55,2.82,365,20.63,364,20.38,2.63,4.37
Binghamton,America East,"5-18",0.217,,363,5.50,361,16.29,350,82.64,340,11.12,2.81,364,20.65,360,21.31,2.28,5.72
Coppin St,"Mid-Eastern AC","3-20",0.130,,364,5.32,364,11.77,357,81.76,361,7.48,2.88,288,26.10,319,24.52,1.92,6.08
MS Valley St,Southwestern AC,"1-21",0.045,,365,4.85,365,7.87,365,76.97,358,8.38,2.94,307,25.43,308,25.04,0.90,8.10
