Team,,Rec,,&Delta;,Rat,,Pwr,,Off,,Def,,HFA,SoS,,SSF,,EW,EL
Missouri,Southeastern,"15-7",0.682,-3,45,7.97,46,43.82,43,99.09,71,22.20,2.84,56,38.29,44,40.91,3.53,5.47
San Diego St,Mountain West,"15-6",0.714,-2,46,7.95,43,44.08,73,96.82,32,24.74,2.87,74,37.09,78,37.38,6.11,2.89
Santa Clara,West Coast,"19-5",0.792,+6,47,7.95,50,43.35,32,99.94,95,20.88,2.70,86,34.75,88,35.87,5.06,2.94
TCU,Big 12,"13-8",0.619,+6,48,7.93,41,44.30,76,96.59,28,25.19,2.83,46,39.02,50,40.60,5.18,4.82
Miami FL,Atlantic Coast,"17-5",0.773,-9,49,7.92,57,42.66,47,98.92,89,21.22,2.75,84,35.03,77,37.41,4.44,4.56
Seton Hall,Big East,"16-6",0.727,-1,50,7.91,69,41.49,176,91.36,13,27.61,2.87,69,37.46,68,39.39,3.77,5.23
Creighton,Big East,"12-10",0.545,-6,51,7.89,40,44.75,52,98.59,42,23.64,2.92,17,40.97,37,41.47,5.12,3.88
Oklahoma St,Big 12,"15-6",0.714,-2,52,7.89,67,41.75,31,100.19,145,19.04,2.91,67,37.58,52,40.47,3.50,6.50
West Virginia,Big 12,"14-8",0.636,+2,53,7.86,55,42.97,157,92.04,9,28.40,2.96,62,37.83,59,39.87,3.96,5.04
LSU,Southeastern,"14-8",0.636,-2,54,7.83,53,43.24,46,98.93,79,21.78,2.94,63,37.73,48,40.78,3.14,5.86
Virginia Tech,Atlantic Coast,"16-7",0.696,+1,55,7.82,71,41.28,67,97.32,85,21.44,3.00,73,37.16,71,38.99,3.26,4.74
Miami OH,"Mid-American","22-0",1.000,+8,56,7.80,117,35.48,55,98.25,256,14.71,2.75,318,25.10,271,26.83,5.89,3.11
Washington,Big 10,"12-10",0.545,+13,57,7.80,64,41.98,71,97.17,68,22.29,2.81,14,41.18,32,41.71,4.20,4.80
George Mason,Atlantic 10,"20-2",0.909,,58,7.79,93,38.03,189,91.08,35,24.42,2.86,168,29.47,138,31.42,5.17,3.83
Mississippi,Southeastern,"11-10",0.524,-2,59,7.78,47,43.66,88,95.96,29,25.18,2.80,37,39.37,25,42.22,3.59,6.41
Nevada,Mountain West,"16-6",0.727,+8,60,7.77,74,40.88,98,95.16,51,23.19,2.86,81,35.40,86,36.01,5.38,3.62
VCU,Atlantic 10,"16-6",0.727,+10,61,7.76,60,42.26,59,98.07,81,21.66,2.71,98,33.41,102,33.82,6.55,2.45
Oklahoma,Southeastern,"11-11",0.500,-11,62,7.76,42,44.09,35,99.59,75,21.98,2.90,39,39.33,20,42.37,3.46,6.54
Mississippi St,Southeastern,"11-11",0.500,-3,63,7.75,51,43.34,56,98.25,62,22.56,2.83,24,40.41,13,42.86,3.45,6.55
Belmont,Missouri Val,"20-3",0.870,+8,64,7.74,92,38.37,65,97.46,159,18.38,2.76,131,30.78,130,31.67,5.06,2.94
California,Atlantic Coast,"16-6",0.727,+10,65,7.74,87,39.32,99,95.15,82,21.64,2.87,83,35.28,82,36.69,4.27,4.73
Cincinnati,Big 12,"11-11",0.500,-1,66,7.73,52,43.26,125,93.63,15,27.11,2.85,36,39.46,43,40.98,4.12,4.88
Butler,Big East,"13-9",0.591,-5,67,7.73,70,41.30,45,99.01,124,19.77,2.80,55,38.37,62,39.77,3.96,5.04
Xavier,Big East,"12-10",0.545,-5,68,7.68,61,42.22,42,99.09,102,20.60,2.92,54,38.39,58,40.15,3.90,5.10
