Team,,Rec,,&Delta;,Rat,,Pwr,,Off,,Def,,HFA,SoS,,SSF,,EW,EL
San Diego St,Mountain West,"15-5",0.750,-1,45,8.00,44,44.12,71,97.04,34,24.54,2.87,76,36.47,78,37.41,6.46,3.54
Missouri,Southeastern,"14-7",0.667,-4,46,7.95,46,43.76,44,98.89,69,22.33,2.84,57,38.20,45,40.92,4.13,5.87
Baylor,Big 12,"11-9",0.550,-11,47,7.95,32,46.71,26,101.06,51,23.11,2.99,27,39.93,22,42.27,5.65,5.35
Creighton,Big East,"12-9",0.571,-3,48,7.94,39,45.24,46,98.77,40,23.93,2.92,18,40.64,37,41.48,5.65,4.35
TCU,Big 12,"13-8",0.619,+5,49,7.94,42,44.32,77,96.59,28,25.19,2.83,42,39.01,50,40.60,5.18,4.82
Santa Clara,West Coast,"18-5",0.783,+3,50,7.92,55,42.88,37,99.44,95,20.90,2.72,86,34.72,88,35.86,5.70,3.30
West Virginia,Big 12,"14-7",0.667,+4,51,7.92,52,43.26,142,92.57,11,28.16,2.96,61,37.63,60,39.92,4.55,5.45
Seton Hall,Big East,"15-6",0.714,-3,52,7.90,70,41.40,175,91.41,13,27.45,2.88,69,37.36,68,39.41,4.29,5.71
Virginia Tech,Atlantic Coast,"16-6",0.727,+3,53,7.86,71,41.39,64,97.65,90,21.20,3.01,75,36.48,71,39.05,3.42,5.58
Oklahoma St,Big 12,"14-6",0.700,-4,54,7.85,69,41.45,29,100.16,150,18.75,2.92,71,37.27,52,40.44,3.85,7.15
Butler,Big East,"13-8",0.619,+7,55,7.81,66,41.75,39,99.32,120,19.89,2.80,48,38.68,62,39.83,4.85,5.15
Miami OH,"Mid-American","21-0",1.000,+8,56,7.81,118,35.33,56,98.28,264,14.51,2.75,306,25.44,271,26.89,6.75,3.25
Oklahoma,Southeastern,"11-10",0.524,-6,57,7.81,41,44.35,32,99.86,77,21.95,2.90,39,39.18,20,42.40,4.08,6.92
LSU,Southeastern,"13-8",0.619,-6,58,7.80,53,43.12,54,98.31,70,22.27,2.95,65,37.50,46,40.80,3.61,6.39
Mississippi,Southeastern,"11-9",0.550,-2,59,7.80,48,43.55,87,96.15,32,24.87,2.80,46,38.79,25,42.23,3.82,7.18
Mississippi St,Southeastern,"11-10",0.524,,60,7.79,51,43.41,58,98.10,61,22.77,2.83,25,40.11,13,42.90,3.82,7.18
Nevada,Mountain West,"16-6",0.727,+7,61,7.78,76,40.87,97,95.16,50,23.17,2.86,82,35.37,86,35.96,5.39,3.61
VCU,Atlantic 10,"16-6",0.727,+9,62,7.77,61,42.29,59,98.09,82,21.67,2.71,96,33.42,103,33.84,6.53,2.47
George Mason,Atlantic 10,"19-2",0.905,-5,63,7.77,94,38.00,193,90.89,33,24.57,2.87,185,29.10,136,31.47,5.65,4.35
Cincinnati,Big 12,"11-10",0.524,+1,64,7.75,49,43.44,124,93.67,15,27.23,2.85,49,38.57,43,41.02,4.23,5.77
Washington,Big 10,"11-10",0.524,+5,65,7.75,68,41.56,70,97.14,79,21.89,2.82,16,40.87,32,41.69,4.39,5.61
Belmont,Missouri Val,"19-3",0.864,+6,66,7.73,93,38.16,72,97.03,156,18.60,2.75,135,30.75,130,31.76,5.65,3.35
Stanford,Atlantic Coast,"14-7",0.667,-8,67,7.71,78,40.27,96,95.19,64,22.54,2.89,77,36.36,75,38.12,4.51,5.49
Arizona St,Big 12,"11-10",0.524,+1,68,7.70,77,40.64,50,98.57,131,19.53,2.86,17,40.76,18,42.50,3.26,6.74
